n_S,ksV,ksD,k2I,k2M,kn2M,kBM,knBM,k13I,k13IV,k13ID,k3A_c,k3I_c,k3I_n,k13_c,kn13_c,k13_n,kn13_n,k1in,k1out,k3inA,k3outA,k3inI,k3outI
1,0.477130551,0.845999614,0.03144491,22.20857699,0.026044837,2.644735949,109.2825531,16.92147051,6097.704981,1.702672791,0.367414935,0.019349691,0.01730249,1.079919226,4519.770332,18.95292494,5.116505505,39.51258098,3663.424374,0.415880707,0.016418523,0.010830185,42.20938382
1,636.2804884,24.72324211,1.984933727,0.857517128,0.096769287,0.015515631,276.511137,0.04319827,695.7588287,7.406815635,19.11613382,1.295898526,0.368253402,4794.080609,1808.173314,9.200435437,3.656629966,589.5717519,702.034887,2.14468562,0.071843391,0.047552051,99.2741291
11,114.2230279,0.086090291,99.2769377,223.4040914,0.710152517,0.032787233,898.8339061,0.07884713,76.53038262,0.314406696,0.272158327,0.016166577,0.028997633,9608.567281,224.8621036,8842.984356,583.225986,320.7750034,536.6935203,3262.541863,5.207931603,0.061776084,0.33045582
15,0.175523932,0.063336325,4.96334418,5384.823375,265.8537104,0.298284616,1241.143783,0.770842214,6797.179044,580.0697526,0.072158269,0.058012502,0.026582009,83.96022714,5265.389452,460.7122216,18.64205243,0.065432748,0.484260873,1765.898186,147.7165643,0.012829998,7067.788382
1,0.597655997,145.9972908,0.035656178,572.8000042,0.852460327,0.189286411,200.6856418,0.011217285,140.5488818,2095.106803,1.96231389,0.353574163,0.035130548,2884.01617,5771.838883,0.715841188,1.070350405,429.0337718,441.9312241,1.006733395,0.277328579,0.011311584,2.391508123
7,41.28901625,2.111538166,0.245630695,1.483208483,0.180945132,0.261731011,149.373332,6.034827279,1819.182619,525.3024728,1.277104206,0.067023632,0.036005975,2992.326956,5772.003084,219.6661617,256.8201385,0.931684439,2.038087309,43.86803035,0.065089315,0.017170317,5350.135077
15,11.79875239,0.116521994,1.085009695,5539.919087,0.219841458,0.115272899,7114.150354,0.061706742,3264.319772,0.08187663,6.809969477,48.69961405,3.68382171,1250.890832,1789.6067,5.897739304,0.038863771,0.020905901,30.22619113,137.5061781,0.143955264,0.241021726,0.260177799
3,3303.52906,0.091491001,1888.641557,4268.784753,0.028813284,0.041182407,51.05815939,0.043545308,30.00114342,11.62858824,0.30082875,0.040624647,0.027408475,0.451708288,38.6789364,1.175171495,0.960923044,1.554866923,39.33599375,637.9503798,257.021637,0.086400654,11.23675661
9,10.96648528,0.025097254,6.405816704,1717.328613,0.016762247,1.124084495,49.56606834,0.364726727,2097.899878,0.209444097,174.2044143,0.01393747,0.693199457,3383.414162,4428.011429,1.685698715,2.618359274,1.691429247,5.203231467,26.98891328,0.582809584,3.070304011,4677.072128
13,0.094814449,0.014623447,8.89415116,1082.778683,0.027024919,0.207132335,2326.604734,1.045902036,4700.096874,343.1440809,0.255827433,0.025487083,0.011782125,232.0847127,309.4079019,0.210855213,0.551906295,84.30519229,126.4205202,19.31905356,0.074063139,7.674628496,101.7884482
11,0.51915301,0.025724141,28.08242162,3985.629826,0.015339098,3.839535383,5.09693976,0.049964612,1379.148891,281.4535941,1.90744034,0.144202137,0.236135391,7829.989236,2312.99902,2683.910257,0.113864776,1.55858762,774.0522415,6.63224358,1.175205085,0.730073787,98.45593555
11,1682.939035,0.151796853,8403.531725,1942.63649,0.039902902,0.213343709,325.5295037,0.053546498,8810.512318,27.19432518,20.85436466,0.738794945,0.020883826,2145.133983,6992.856823,4.151363266,4.684681967,1239.514655,5125.405825,0.266565019,0.025375672,0.011880104,0.210817138
3,0.038471841,0.250852803,0.010270431,99.91673912,0.502976307,1.122978976,1497.140379,3.137077041,2983.029971,107.757483,11.83860786,0.051801059,0.629050904,9801.292876,1578.889095,0.43377699,0.011181848,303.4076442,261.6352802,8.806687701,4.483540499,0.064826217,1.334024836
3,0.276187397,0.365696472,103.9996835,6205.185021,0.456947131,0.011474544,0.330145851,1.117113582,9323.679306,3037.273352,2.337189759,0.038888104,0.443139212,158.2475022,117.794351,3671.873184,1205.715548,11.08332365,12.79694455,231.0969244,31.25216313,0.04980271,1.643164828
3,18.4805136,20.95673081,0.287055359,1236.916641,0.109057964,0.242107296,32.01306188,0.013343665,30.06668918,12.57216923,0.214497779,0.014195726,0.021717783,0.31356812,15.8932144,0.274058592,0.107847749,7.011618064,467.1884025,125.9964095,10.77475236,16.65542481,246.5393161
11,1.430596248,0.105245169,0.011095075,14.09534505,0.435264477,2.912907188,250.3987003,0.186020274,107.2430452,68.80088471,16.50825713,0.911129475,0.433300875,1772.333228,3577.945244,6.080156234,24.77022903,3.122279393,2.459442251,769.5869172,148.5612128,1.525211201,138.5281829
5,7.506435106,0.086879467,1.196076503,6066.045969,133.1659308,0.010701737,222.0498685,0.018185683,359.4666305,0.211227659,17.72351203,0.140406687,0.038951365,22.3499759,773.1826004,91.52766909,643.7207584,157.3416119,389.1909721,104.1818906,27.71840428,8.552909147,2014.739106
15,8.49534294,0.207827289,956.3820994,6578.369273,2.197844453,0.178674582,8292.567261,0.298477318,15.8461893,1.986942628,0.998144363,0.0181052,0.03127943,21.06414527,21.52793156,9297.540714,1922.2318,8.232977114,35.3272988,2207.26604,442.0081327,0.276444945,6997.356674
11,3342.381771,0.289612177,0.649963602,70.41369688,0.113244067,0.011861122,4747.488315,1.369178623,7314.099484,0.364143766,5.316341661,0.057917865,0.017100554,2337.552919,5627.582506,40.01595666,0.026550764,0.457410556,1473.423273,992.676765,44.34513721,0.023965973,1223.21572
